name,no_cache
Ashbourne,6
Atlanta,6
Boston,3
Chicago,6
Dallas,6
Denver,2
Hayward,1
Hillsboro,3
Houston,4
Jacksonville,1
Los_Angeles,5
Miami,4
Minneapolis,1
Montreal,1
New_York,2
Newark,7
Palo_Alto,1
Philadelphia,2
Phoenix,2
Salt_Lake_City,1
San_Jose,2
Seattle,3
Toronto,2
Queretaro,2
Amsterdam,2
Athens,1
Berlin,2
Brussels,1
Bucharest,1
Budapest,1
Copenhagen,1
Dublin,1
Dusseldorf,1
Frankfurt,10
Hamburg,1
Helsinki,1
Lisbon,1
London,9
Madrid,2
Manchester,2
Marseille,1
Milan,3
Munich,2
Oslo,1
Palermo,1
Paris,5
Prague,1
Rome,1
Sofia,1
Stockholm,3
Vienna,1
Warsaw,1
Zurich,2
Bangalore,3
Chennai,2
Hong_Kong,3
Hyderabad,4
Kolkata,1
Kuala_Lumpur,2
Mumbai,3
Manila,1
New_Delhi,4
Osaka,1
Seoul,4
Singapore,4
Taipei,3
Tokyo,16
Auckland,2
Melbourne,2
Perth,1
Sydney,4
Bogota,1
Buenos_Aires,1
Rio_de_Janeiro,2
Santiago,1
Sao_Paulo,2
Dubai,1
al-Fujayrah,1
Manama,1
Tel_Aviv,1
Cape_Town,1
Johannesburg,1
Nairobi,1
Beijing,1
Shenzhen,1
Shanghai,1
Zhongwei,1
