name,lon,lat,pop
PLEASANT+HILL+RD,-81.08,38.92,7109
0.4+MILES+SW+OF+VINEYARD+GAP+%26+SR+36,-81.28,38.64,13688
ROUTE+1,-81.62,39.04,28576
PORTION+OF+3.56+ACRE+PARCEL+RIPLEY+AND+WASHINGTON,-81.62,38.67,28576
ROUTE+1+BOX+232C,-81.92,38.85,26516
9765+CHARLESTON+ROAD,-81.38,38.58,13688
2257+FISHER+RIDGE+ROAD,-81.64,38.63,28576
PIGEON+RUN+ROAD,-81.28,38.57,13688
TOWN+OF+RAVENSWOOD,-81.72,38.97,28576
481+GREY+DRIVE,-81.83,38.78,26516
OFF+RT.+36+%26+I-79,-81.14,38.56,13688
ROUTE+743+%26+ROUTE+341+EAST,-76.55,40.23,141793
679+RIDGE+RD,-76.59,40.32,141793
14+PLEASANT+VIEW+RD,-76.62,40.39,141793
330+MILLARDVILLE+ROAD,-76.26,40.37,141793
GREEN+POINT+SCHOOL+ROAD,-76.54,40.5,141793
%28CAMPBELLTON+SITE%29+200+CHESTNUT+ROAD,-76.58,40.26,141793
%28LEBANON+SITE%29+1913+WATER+STREET,-76.45,40.37,141793
3910+VIOLA+ROAD+NORTHEAST,-92.4,44.05,158293
11916+COUNTY+ROAD+35,-92.04,43.94,50484
1509+65TH+STREET,-92.48,44.09,158293
368+COUNTY+ROAD+6+SOUTHWEST,-92.49,43.85,158293
8031+WEST+COUNTRY+CLUB+ROAD,-92.6,44.02,158293
25985+650TH+STREET,-92.72,44.01,20934
16400+CLEAR+CREEK+ROAD+NORTHWEST,-122.69,47.71,271473
8971+SE+VIEW+PARK+ROAD,-122.53,47.48,271473
63+MARITIME+ROAD,-122.82,47.69,32221
0.5+MILES+EAST+OF+ROUTE+12,-120.46,46.53,250873
EAST+END+OF+SNIPES+MOUNTAIN%2FNO+ADDRESS,-120.06,46.31,250873
14+MILES+EAST+OF+GOLDENDALE+OFF+HOCTOR+ROAD,-120.56,45.78,22425
RATTLESNAKE+MOUNTAIN,-119.61,46.4,204390
HWY+12,-120.96,46.65,250873
6.5MI+SSE+OF+I-90+%26+I-82,-120.44,46.89,47935
E+VANTAGE+HWY+%26+NUMBER+B1+RD,-120.19,47.0,47935
ON+TOP+OF+CRYSTAL+MOUNTAIN,-121.5,46.94,904980
LOOKOUT+MOUNTAIN,-117.51,47.81,522798
35205+SOUTH+DRAKE+ROAD,-117.39,47.34,522798
27401+WEST+2ND+STREET,-117.79,47.43,522798
22804+WEST+WASHINGTON+ROAD,-117.73,47.55,522798
1926+NORTH+HARVARD+ROAD,-117.11,47.68,522798
EAST+23304+WELLESLEY+AVENUE,-117.09,47.7,522798
15316+NORTH+PENINSULA+DRIVE,-117.11,47.78,522798
321730+HWY+2,-117.29,48.09,13724
BRADSHAW+RD,-117.13,47.4,522798
ATOP+BADGER+MTN,-119.32,46.23,204390
37813+W.+KELLY+RD.,-119.58,46.32,204390
64899+BOFER+CANYON+ROAD,-119.2,46.09,204390
67471+SOUTH+FINLEY+ROAD,-119.03,46.12,204390
12+MILES+SOUTH+BY+SOUTHWEST+OF+LIND,-118.67,46.79,19983
HAUL+ROAD+ROUTE+4-HANFORD,-119.57,46.55,204390
2061+WEST+KALMATH+ROAD,-119.16,46.56,95222
500+SOUTH+ELM+ROAD,-119.01,46.43,95222
HAMPTON+ROAD+.6+MILES+WEST+OF+HIGHWAY+395,-118.78,46.78,19983
EAST+END+OF+SNIPES+MOUNTAIN%2FNO+ADDRESS,-120.06,46.31,250873
2900+E.+HIBBARD+RD.,-84.11,42.95,68122
2300+WEST+ELSWORTH+RD.,-84.21,42.81,68122
4409+W.++FERRAND,-83.77,43.19,405813
1201+SOUTH+WASHBURN+ROAD,-83.46,43.01,87607
15168+NORTH+RD,-83.73,42.81,405813
1445+HURD+ROAD,-83.71,43.18,405813
13176+IRISH+ROAD,-83.56,43.2,405813
HIGHWAY+15+AND+HURTON+ROAD+INERSECTION,-83.47,42.88,405813
7201+SILVER+LAKE,-83.81,42.79,405813
WEST+SEVENTH+STREET+EXTENSION,-81.25,32.29,64296
JERUSALEM+CHURCH+ROAD,-81.75,32.15,39627
ROUTE+2.+BOX+283%2FBOAEN+ROAD,-81.37,32.39,64296
18074+HIGHWAY++17,-81.26,31.85,39627
PEMBROKE+SITE+-+SOUTH+POPLAR+ST.,-81.63,32.12,64296
SKIDAWAY+ISLAND+-+416+LANDINGS+WAY+NORTH,-81.04,31.94,289430
7346+HWY.+17,-81.37,31.9,39627
CORNER+OF+VAN+HORNE+%26+OLD+FORT+ROAD.+4%2F10+MI+WEST+OF+US+-+80+ON+TYBEE,-80.85,32.02,289430
HUTCHINSON+ISLAND,-81.1,32.09,289430
%28ELLABELLE+SITE%29+APPROX+1000+FT+OF+INT+US40+%26+HWY+46+ON+PRIV+DR,-81.51,32.22,39627
1156+HIGH+ST,-122.05,37.0,273213
49+CROW+RD,-121.8,36.98,273213
COLLEGE+EIGHT.++200+HELLER+DRIVE,-122.06,36.99,273213
1253+TRABING+ROAD,-121.83,36.94,273213
15+WEST+LAKE+STREET,-121.76,36.91,273213
370+AIRPORT+BLVD,-121.79,36.93,273213
2350+RIVERSIDE+DRIVE,-121.64,36.91,273213
22970+HWY+17,-121.98,37.13,273213
12500+EMPIRE+GRADE+ROAD,-122.16,37.12,273213
1339+LA+MADRONNA+DRIVE,-122.03,37.01,273213
1.2+MILES+NORTH+OF+S.R.+150+AND+1000+FT.+EAST+OF+CITY+HIGHWAY+E-750,-88.32,40.18,209689
201+W.+SPRINGFIELD+AVE.,-88.25,40.11,209689
APPROX.+150+%27+SE+OF+THE+INTERSECTION+OF+STATE+RT.+130+%26+THE+NORFOLK+AN,-88.16,40.08,209689
.9+MILE+EAST+OF+DICKSON+STREET+AND+ENGLISH+STREET,-87.8,39.91,75758
STATE+ROUTE+NO.+1+%28DIXIE+HIGHWAY%29,-87.69,40.45,75758
STATE+ROUTE+NO.+1+%28DIXIE+HIGHWAY%29,-87.69,40.45,75758
5.500%27+NE+OF+STATE+ROUTE+136+AND+MAIN+AVE.,-88.03,40.33,209689
1547+COUNTY+ROAD+2200+E.,-88.05,40.11,209689
HIGHWAY+45+NORTH+%26+COUNTY+400+NORTH,-88.31,39.94,209689
5380+SAINT+ANTHONY+ROAD,-88.31,43.44,136034
1374+LAKE+DRIVE,-87.85,43.44,89221
7960+INDIAN+LORE+ROAD,-88.12,43.48,136034
3555+EAST+PABST+AVENUE,-87.86,42.96,945726
5555+SOUTH+PACKARD+AVENUE,-87.86,42.94,945726
2400+EAST+BRADFORD,-87.88,43.06,945726
3909+NORTH+MURRAY+AVENUE,-87.89,43.09,945726
2391+SOUTH+STATE+HIGHWAY+83,-88.38,43.27,136034
5313+REDDELIEN+ROAD,-88.53,43.12,404198
981+GREENWALD+COURT,-88.33,42.85,404198
1580+AIRPORT+DRIVE,-88.39,43.34,136034
2303+DAKOTA+DRIVE,-87.93,43.32,89221
428+THOMAS+DRIVE,-87.88,43.41,89221
412+NORTH+WISCONSIN,-87.87,43.39,89221
4311+EAST+OAKWOOK+ROAD,-87.84,42.86,945726
3729+SOUTH+KINNICKINNIC+AVENUE,-87.88,42.98,945726
3766+LAKELAND+ROAD,-87.99,43.42,89221
W224+S10030+BIG+BEND+DRIVE,-88.19,42.86,404198
4481+HIGHWAY+28+WEST,-88.26,43.53,136034
545+ANTON+COURT,-88.48,42.89,404198
9.58+MILES+SW+OF+ORCHARD.+ID,-116.21,43.28,481587
KUNA+MORA+RD,-116.08,43.45,481587
8670+SOUTH+EISENMAN+RD.,-116.15,43.52,481587
5459+GLENWOOD+ST.,-116.28,43.65,481587
6477+BEACON+LIGHT+ROAD,-116.43,43.72,481587
2033+NORTH+35TH+STREET,-116.23,43.64,481587
387+SOUTH+SWAN+FALLS+RD.,-116.42,43.49,481587
1050+S.+PINE+ST.++++++++%28LERXINGTON+IL+%23+90174%29,-88.78,40.63,171517
%28NORMAL%29+NEAR+HWY+55+ON+TOWNSHIP+RD,-89.02,40.54,171517
RR1.+3500+FEET+SOUTH+OF+ARROWSMITH,-88.63,40.44,171517
500%27+N+OF+THE+EAST+ST.+%26+I-74,-88.76,40.34,171517
FUNKS+GROVE+RR%231%3B+APPROX.+400%27+WEST+OF+I-55,-89.11,40.36,171517
RURAL+ROUTE+4+%281000E%29,-89.07,40.49,171517
820+JOLLY+ROAD,-84.38,42.68,292406
