"","name","country.etc","pop","lat","lon","capital"
"222","Abilene","USA",113888,32.45,-99.74,0
"747","Akron","USA",206634,41.08,-81.52,0
"811","Alameda","USA",70069,37.77,-122.26,0
"857","Albany","USA",45535,44.62,-123.09,0
"858","Albany","USA",75510,31.58,-84.18,0
"859","Albany","USA",93576,42.67,-73.8,0
"888","Albuquerque","USA",494962,35.12,-106.62,0
"965","Alexandria","USA",127159,38.82,-77.09,0
"966","Alexandria","USA",44933,31.29,-92.46,0
"1004","Alhambra","USA",88857,34.08,-118.13,0
"1032","Aliso Viejo","USA",41975,33.57,-117.73,0
"1052","Allen","USA",84467,33.11,-96.67,0
"1057","Allentown","USA",105224,40.6,-75.48,0
"1105","Aloha","USA",45531,45.49,-122.87,0
"1138","Altadena","USA",43280,34.19,-118.13,0
"1147","Altamonte Springs","USA",40712,28.66,-81.4,0
"1174","Altoona","USA",46442,40.51,-78.4,0
"1240","Amarillo","USA",183295,35.2,-101.82,0
"1305","Ames","USA",57683,42.02,-93.63,0
"1371","Anaheim","USA",334909,33.84,-117.87,0
"1426","Anderson","USA",57036,40.09,-85.69,0
"1441","Andover","USA",67715,42.65,-71.14,0
"1525","Ann Arbor","USA",113716,42.28,-83.73,0
"1534","Annandale","USA",57942,38.83,-77.21,0
"1603","Antioch","USA",109485,37.99,-121.8,0
"1697","Apple Valley","USA",51609,44.75,-93.2,0
"1698","Apple Valley","USA",66361,34.53,-117.21,0
"1699","Appleton","USA",70090,44.27,-88.4,0
"1819","Arcadia","USA",57429,34.13,-118.04,0
"1844","Arden-Arcade","USA",99968,38.6,-121.38,0
"1954","Arlington","USA",184603,38.88,-77.1,0
"1955","Arlington","USA",374729,32.69,-97.13,0
"1956","Arlington","USA",41246,42.42,-71.16,0
"1957","Arlington Heights","USA",74763,42.09,-87.98,0
"2088","Arvada","USA",101633,39.82,-105.11,0
"2155","Asheville","USA",68654,35.57,-82.55,0
"2204","Aspen Hill","USA",54029,39.09,-77.08,0
"2292","Athens-Clarke","USA",103618,33.95,-83.39,0
"2315","Atlanta","USA",424096,33.76,-84.42,0
"2316","Atlantic City","USA",40529,39.38,-74.45,0
"2334","Attleboro","USA",44690,41.93,-71.3,0
"2358","Auburn","USA",46108,47.3,-122.21,0
"2359","Auburn","USA",51236,32.59,-85.48,0
"2373","Augusta-Richmond","USA",192376,33.46,-81.99,0
"2403","Aurora","USA",181120,41.77,-88.29,0
"2404","Aurora","USA",304641,39.71,-104.73,0
"2406","Austin","USA",683404,30.31,-97.75,0
"2456","Avondale","USA",79125,33.42,-112.32,0
"2632","Azusa","USA",48992,34.14,-117.91,0
"2928","Bakersfield","USA",301775,35.36,-119,0
"3007","Baldwin Park","USA",81467,34.08,-117.97,0
"3086","Baltimore","USA",602658,39.3,-76.61,0
"3445","Barnstable Town","USA",49598,41.7,-70.3,0
"3499","Bartlett","USA",43852,35.22,-89.84,0
"3616","Baton Rouge","USA",222217,30.45,-91.13,0
"3630","Battle Creek","USA",54179,42.3,-85.23,0
"3690","Bayonne","USA",59482,40.66,-74.11,0
"3720","Baytown","USA",67487,29.75,-94.97,0
"3750","Beaumont","USA",110949,30.09,-94.14,0
"3758","Beavercreek","USA",41297,39.73,-84.06,0
"3761","Beaverton","USA",83920,45.48,-122.82,0
"3795","Bedford","USA",49572,32.85,-97.13,0
"3856","Bel Air South","USA",50874,39.5,-76.32,0
"3912","Bell Gardens","USA",46504,33.97,-118.15,0
"3926","Belleville","USA",40745,38.53,-90,0
"3928","Bellevue","USA",111896,47.6,-122.16,0
"3929","Bellevue","USA",48894,41.16,-95.92,0
"3931","Bellflower","USA",76437,33.89,-118.13,0
"3933","Bellingham","USA",74770,48.74,-122.47,0
"3983","Bend","USA",68945,44.07,-121.31,0
"4103","Berkeley","USA",99653,37.87,-122.27,0
"4149","Berwyn","USA",50904,41.84,-87.79,0
"4188","Bethesda","USA",52217,38.99,-77.12,0
"4190","Bethlehem","USA",74087,40.63,-75.37,0
"4213","Beverly","USA",40441,42.56,-70.84,0
"4408","Billerica","USA",40063,42.56,-71.26,0
"4411","Billings","USA",101249,45.79,-108.54,0
"4425","Biloxi","USA",47110,30.41,-88.93,0
"4458","Binghamton","USA",45070,42.1,-75.91,0
"4504","Birmingham","USA",229300,33.53,-86.8,0
"4548","Bismarck","USA",56927,46.81,-100.77,0
"4608","Blacksburg","USA",40303,37.23,-80.43,0
"4619","Blaine","USA",56140,45.17,-93.21,0
"4665","Bloomfield","USA",49358,40.81,-74.19,0
"4666","Bloomfield Township","USA",43032,42.58,-83.27,0
"4667","Bloomington","USA",71260,39.17,-86.52,0
"4668","Bloomington","USA",71804,40.48,-88.97,0
"4669","Bloomington","USA",80627,44.83,-93.32,0
"4678","Blue Springs","USA",50116,39.02,-94.27,0
"4719","Boca Raton","USA",81868,26.37,-80.11,0
"4813","Boise City","USA",193628,43.61,-116.23,0
"4859","Bolingbrook","USA",76994,41.7,-88.08,0
"4949","Bonita Springs","USA",43842,26.34,-81.79,0
"5090","Bossier City","USA",60142,32.52,-93.66,0
"5092","Boston","USA",567759,42.34,-71.02,0
"5129","Boulder","USA",90957,40.03,-105.25,0
"5138","Bountiful","USA",41622,40.88,-111.87,0
"5151","Bourne","USA",48580,41.74,-70.61,0
"5167","Bowie","USA",56949,38.96,-76.74,0
"5168","Bowling Green","USA",51999,36.97,-86.44,0
"5179","Boynton Beach","USA",67720,26.53,-80.08,0
"5207","Bradenton","USA",55606,27.49,-82.58,0
"5245","Brandon","USA",92728,27.93,-82.29,0
"5283","Brea","USA",40349,33.92,-117.87,0
"5310","Bremerton","USA",45306,47.55,-122.7,0
"5316","Brentwood","USA",52747,37.93,-121.71,0
"5317","Brentwood","USA",58954,40.78,-73.25,0
"5333","Brewster","USA",52153,41.77,-70.08,0
"5355","Brick","USA",82400,40.06,-74.11,0
"5359","Bridgeport","USA",138901,41.19,-73.2,0
"5363","Bridgewater","USA",50237,41.99,-70.97,0
"5393","Bristol","USA",61166,41.68,-72.94,0
"5412","Brockton","USA",94945,42.08,-71.03,0
"5419","Broken Arrow","USA",86817,36.04,-95.79,0
"5434","Brookfield","USA",40323,43.06,-88.12,0
"5436","Brookline","USA",55862,42.32,-71.14,0
"5437","Brooklyn Park","USA",67660,45.11,-93.35,0
"5441","Broomfield","USA",45869,39.94,-105.06,0
"5454","Brownsville","USA",174135,25.93,-97.48,0
"5510","Bryan","USA",70386,30.67,-96.37,0
"5609","Buena Park","USA",79388,33.86,-118,0
"5634","Buffalo","USA",276762,42.89,-78.86,0
"5635","Buffalo Grove","USA",43355,42.17,-87.96,0
"5785","Burbank","USA",105515,34.19,-118.33,0
"5825","Burke","USA",58270,38.78,-77.27,0
"5828","Burlington","USA",47290,36.08,-79.45,0
"5835","Burnsville","USA",59357,44.76,-93.28,0
"6209","Camarillo","USA",63560,34.22,-119.03,0
"6225","Cambridge","USA",101342,42.38,-71.12,0
"6231","Camden","USA",80393,39.94,-75.11,0
"6390","Canton","USA",77575,40.81,-81.37,0
"6391","Canton","USA",89064,42.31,-83.48,0
"6418","Cape Coral","USA",137134,26.64,-82,0
"6527","Carlsbad","USA",93848,33.12,-117.29,0
"6536","Carmel","USA",49188,39.97,-86.11,0
"6550","Carmichael","USA",51165,38.63,-121.32,0
"6561","Carol City","USA",63659,25.94,-80.27,0
"6562","Carol Stream","USA",39749,41.92,-88.13,0
"6593","Carrollton","USA",123154,32.99,-96.9,0
"6597","Carson","USA",96933,33.84,-118.26,0
"6598","Carson City","USA",58350,39.15,-119.74,0
"6618","Cary","USA",106117,35.78,-78.8,0
"6637","Casas Adobes","USA",84988,32.32,-110.99,0
"6664","Casper","USA",51808,42.83,-106.33,0
"6720","Castle Rock","USA",43905,39.38,-104.85,0
"6740","Castro Valley","USA",63908,37.71,-122.06,0
"6757","Catalina Foothills","USA",84369,32.3,-110.92,0
"6776","Cathedral City","USA",55253,33.83,-116.46,0
"6781","Catonsville","USA",43406,39.26,-76.74,0
"6843","Cedar Hill","USA",46869,32.58,-96.96,0
"6844","Cedar Park","USA",58499,30.51,-97.83,0
"6845","Cedar Rapids","USA",123243,41.97,-91.67,0
"6887","Centennial","USA",95961,39.6,-104.85,0
"6891","Centreville","USA",69167,38.85,-77.44,0
"6908","Ceres","USA",41223,37.6,-120.96,0
"6942","Cerritos","USA",53616,33.87,-118.07,0
"7084","Champaign","USA",76999,40.11,-88.26,0
"7098","Chandler","USA",247915,33.3,-111.87,0
"7136","Chantilly","USA",50103,38.88,-77.41,0
"7149","Chapel Hill","USA",47613,35.93,-79.04,0
"7172","Charleston","USA",106372,32.79,-79.99,0
"7173","Charleston","USA",49804,38.35,-81.63,0
"7177","Charlotte","USA",607111,35.2,-80.83,0
"7222","Chattanooga","USA",153617,35.07,-85.26,0
